id,name,description,category_id,is_deleted
1,Мужская футболка,Удобная и стильная мужская футболка.,6,False
2,Мужские джинсы,Прочные джинсы для повседневной носки.,6,False
3,Мужская куртка,Тёплая куртка для прохладной погоды.,6,False
4,Женская блузка,Элегантная женская блузка для офисов.,7,False
5,Женская юбка,Лёгкая юбка для летних дней.,7,False
6,Женская куртка,Модная куртка с капюшоном для осени.,7,False
7,Мужские туфли,Классические мужские туфли для официальных мероприятий.,10,False
8,Мужские кроссовки,Удобные кроссовки для занятий спортом и прогулок.,11,False
9,Мужские ботинки,Практичные и стильные ботинки для зимнего сезона.,10,False
10,Женские сапоги,Элегантные женские сапоги для зимы.,12,False
11,Женские босоножки,Лёгкие босоножки для летних прогулок.,13,False
12,Женские ботинки,Удобные и стильные ботинки для осени.,12,False
