1,Современная электрическая зубная щетка с несколькими режимами чистки для идеальной гигиены полости рта.,Электрическая зубная щетка,11
2,Телевизор с разрешением 4K и яркими цветами для просмотра ваших любимых фильмов в высоком качестве.,4K Телевизор,11
3,"Элегантная настольная лампа с уникальным дизайном, создающая уютную атмосферу.",Настольная лампа,12
4,"Яркая картина с абстрактным рисунком, придающая комнате современный вид.",Картина с абстрактным рисунком,12
5,"Захватывающее путешествие в неизведанные места, полное неожиданных событий и открытий.","Приключенческий роман ""Затерянный мир""",13
6,Интригующий рассказ о загадках древних культур и их невероятных открытиях.,"Приключенческий роман ""Тайны древних цивилизаций""",13
7,"Легкий и веселый роман, который заставит вас смеяться от души.","Комедия ""Смех без причин""",14
8,"Яркая история о необычных приключениях комика, полная юмора и забавных ситуаций.","Комедия ""Приключения веселого клоуна""",14
9,"Эмоциональная драма о человеке, который сталкивается с трудными воспоминаниями.","Драма ""Тени прошлого""",15
10,История о сложных жизненных выборах и поисках себя в трудные времена.,"Драма ""Разбитые мечты""",15
11,Полное руководство по программированию для начинающих и продвинутых разработчиков.,"Техническая литература ""Основы программирования""",16
12,Подробное руководство по системному администрированию и управлению серверной инфраструктурой.,"Техническая литература ""Системное администрирование""",16
13,"Удобная и теплая парка с капюшоном, идеальная для холодной погоды.",Куртка-парка,17
14,Элегантное пальто из качественного материала для стильного и комфортного ношения.,Классическое пальто,17
15,"Комфортная футболка с уникальным дизайном, отлично подходит для повседневной носки.",Футболка с принтом,18
16,"Модные джинсы с низкой посадкой и отличной посадкой, которые дополнят ваш образ.",Джинсы с низкой посадкой,18
17,"Стильный тренч-кот с поясом и модным кроем, который подойдет для любого сезона.",Тренч-кот,19
18,"Теплый и легкий жилет из шерсти, идеальный для добавления стиля и тепла к вашему наряду.",Жилет из шерсти,19
19,"Мягкая кофта с оригинальным узором, создающая уют и комфорт в любое время года.",Кофта с узором,20
20,Удобные леггинсы с высоким поясом для активного отдыха и повседневной носки.,Леггинсы с высоким поясом,20
21,"Яркая и стильная куртка-бомбер для детей, обеспечивающая тепло и защиту от ветра.",Детская куртка-бомбер,21
22,"Удобный и теплый комбинезон для детей, идеальный для прогулок в холодное время года.",Теплый комбинезон,21
23,"Яркая детская футболка с забавным принтом, которая станет любимой в гардеробе вашего ребенка.",Футболка с принтом,22
24,"Комфортные шорты для активных игр и прогулок, идеальные для жаркого времени года.",Шорты для активных игр,22
25,"Элегантные кожаные ботинки с классическим дизайном, которые добавят стиль вашему образу.",Кожаные ботинки,23
26,"Удобные и прочные ботинки для активного отдыха и походов, обеспечивающие надежную поддержку.",Ботинки для походов,23
27,"Спортивные кроссовки с продвинутой амортизацией, которые обеспечат комфорт и поддержку при любой активности.",Кроссовки с амортизацией,24
28,"Легкие и удобные кроссовки, специально разработанные для бега и тренировок.",Кроссовки для бега,24
29,"Мягкие и уютные тапочки, которые подойдут для дома и подарят вашим ногам комфорт и тепло.",Комфортные тапочки,25
30,"Тапочки с противоскользящей подошвой, обеспечивающие безопасность и комфорт при передвижении по дому.",Домашние тапочки с антипровскользением,25
31,"Стильные каблуки, которые добавят изысканности вашему образу для особых случаев.",Элегантные каблуки,26
32,"Комфортные каблуки с платформой, которые обеспечивают удобство и стиль одновременно.",Каблуки на платформе,26
33,"Элегантные и удобные кроссовки для женщин, которые идеально подойдут для повседневной носки и тренировок.",Кроссовки для женщин,27
34,"Спортивные кроссовки с отличной поддержкой и вентиляцией, подходящие для активного образа жизни.",Спортивные кроссовки,27
35,"Уютные тапки для дома, которые обеспечивают комфорт и тепло для ваших ног.",Мягкие домашние тапки,28
36,Тапочки с мягким наполнителем для максимального комфорта и расслабления.,Тапочки с мягким наполнителем,28
37,"Яркие и удобные кроссовки для детей, которые подойдут для игр и занятий спортом.",Кроссовки для детей,29
38,Легкие и прочные кроссовки для активных игр и физической активности детей.,Кроссовки для активных детей,29
39,"Классические кожаные ботинки для детей, которые обеспечивают стиль и комфорт.",Кожаные ботинки для детей,30
40,"Удобные ботинки для детей, которые идеально подойдут для повседневного ношения.",Удобные ботинки для детей,30
41,"Летние сандали для детей, которые обеспечивают комфорт и свободу движений.",Сандали для детей,31
42,"Стильные кожаные сандали для детей, которые подойдут для жаркого времени года и обеспечат хорошую вентиляцию.",Кожаные сандали для детей,31
